nm_marca,ds_produto,media_avaliacao,nm_avaliacao,vlr_produto
Samsung,"Samsung Galaxy Note 9 SM-N960F/DS 512GB/8GB (Metallic Copper) 6.4"" QHD+ sAMOLED Factory Unlocked GSM (No CDMA) - International Version (No Warranty in The USA)",4.8,18,677.0
Samsung,"Samsung Galaxy A80 SM-A805F/DS Dual Sim (Factory Unlocked) 6.7"" 128GB 8GB RAM (Ghost White)",4.7,17,499.99
Xiaomi,"Xiaomi Mi 9 128GB + 6GB RAM - 48MP Ultra High Resolution Camera LTE Factory Unlocked GSM Smartphone (Global Version, No Warranty) (Piano Black)",4.7,56,387.0
Xiaomi,"Xiaomi Mi 9 Lite 128GB + 6GB RAM, 6.39” AMOLED FHD+ LTE 48MP AI Triple Camera Factory Unlocked Smartphone - Global Version (Pearl White)",4.7,40,288.97
Xiaomi,"Xiaomi Mi A3 128GB, 4GB RAM 6.1' 48MP AI Triple Camera LTE Factory Unlocked Smartphone (International Version) (Kind of Grey)",4.6,92,188.0
Xiaomi,"Xiaomi Mi A3 128GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",4.6,92,183.95
Xiaomi,"Xiaomi Redmi Note 8 Pro 128GB, 6GB RAM 6.53"" LTE GSM 64MP Smartphone - Global Model (Mineral Grey)",4.6,127,235.78
Xiaomi,"Xiaomi Redmi Note 8 64GB + 4GB RAM, 6.3"" LTE 48MP Factory Unlocked GSM Smartphone - International Version (Space Black)",4.6,103,168.0
Xiaomi,"Xiaomi Redmi Note 8 64GB + 4GB RAM, 6.3"" LTE 48MP Factory Unlocked GSM Smartphone - International Version (Moonlight White)",4.6,103,168.51
HUAWEI,"Huawei Mate 20 Pro LYA-L29 128GB + 6GB - Factory Unlocked International Version - GSM ONLY, NO CDMA - No Warranty in The USA (Black)",4.6,153,459.99
Xiaomi,"Xiaomi Redmi Note 7 (64GB, 4GB) 6.3"" Display, 48MP + 5MP AI Dual Rear Camera, Global 4G LTE Dual SIM GSM Factory Unlocked (International Model w/ 64GB MicroSD Bundle) (Black)",4.5,29,180.0
Sony,Sony Xperia 1 Unlocked Smartphone and WH1000XM3 Wireless Noise Cancelling Heaphones,4.5,70,948.0
Xiaomi,"Xiaomi Mi 9T (128GB, 6GB RAM) 6.39"" AMOLED FHD + Full Screen Display, 48MP Triple Camera, Global 4G LTE Dual SIM GSM Factory Unlocked (Carbon Black)",4.5,94,298.98
HUAWEI,"Huawei P30 128GB+6GB RAM (ELE-L29) 6.1"" LTE Factory Unlocked GSM Smartphone (International Version) (Black)",4.5,115,513.99
Google,Google - Pixel 3 XL with 64GB Memory Cell Phone (Unlocked) - Just Black,4.5,118,588.53
Xiaomi,"Xiaomi Redmi 7 64GB + 3GB RAM 6.26"" HD+ LTE Factory Unlocked GSM Smartphone (Global Version) (Comet Blue)",4.5,35,152.49
Xiaomi,"Xiaomi Mi 8, 6-64GB, Unlocked, Global Version (Black)",4.5,60,268.99
OnePlus,OnePlus 7 Pro 256GB ROM 8GB RAM Factory Unlocked 6.67 inch QHD+ AMOLED 90Hz Display Dual SIM Mirror Gray,4.5,28,645.0
Samsung,"Samsung Galaxy A30S w/On-Screen Fingerprint (64GB, 4GB) 6.4"", Triple Camera, Dual SIM GSM Unlocked A307G/DS - US + Global 4G LTE International Model (64GB + 64GB SD + Case Bundle) (Black)",4.5,26,221.0
Samsung,"Samsung Galaxy S10e 128GB+6GB RAM SM-G970 Dual Sim 5.8"" LTE Factory Unlocked Smartphone (International Model) (Prism Black)",4.5,213,541.98
